repeat,mse_OLS,mse_Huber,mse_rho,mae_OLS,mae_Huber,mae_rho
0,0.04306147191148273,0.018002525218765962,0.039065455451868694,0.1554879901419316,0.0932754537783259,0.14985627764594053
1,0.046109171750831505,0.015264440093574416,0.03386923376791891,0.162503725800135,0.085259975694664,0.13544695704001508
2,0.05325533510048261,0.02205324866761163,0.04700805822204769,0.17760692262794356,0.09735116963920576,0.15428075850112496
3,0.08376601602948526,0.06066679585410519,0.08700597753648903,0.20240791950169976,0.11018017502475343,0.19048004570573565
4,0.06326775338495513,0.018784966934860897,0.05545446414183164,0.1918505210538468,0.09552955044733673,0.17578103324181565
5,0.08690740764640417,0.012822631490450091,0.06042874125937186,0.20329556162962742,0.08239240941803407,0.17462501403649544
6,0.0722910459866184,0.01740143957207179,0.05726869113615512,0.20223671737017365,0.094393831048609,0.1806520241448895
7,0.05145205475969861,0.014344453679383128,0.042285399186600486,0.1714666839828706,0.0847291636947566,0.15691540482657645
8,0.06935682238646938,0.014786726241338935,0.06608148829482836,0.19843496849493786,0.08601494735805668,0.19773232924727177
9,0.06905834936139475,0.02646178140310487,0.07495313599020553,0.18775184139313733,0.090965484452583,0.1633154379527191
10,0.061572540728374,0.018410473624148622,0.04398124835672102,0.18710016413304137,0.09479538190185721,0.15801839010130936
11,0.04896363992674719,0.015570851023696231,0.04505096244644857,0.16714678081869133,0.08867516015282854,0.15694617943275652
12,0.04612964369556652,0.013813479144186777,0.035692841686116125,0.16937713400314386,0.08469226061351981,0.14195811756430307
13,0.046618293376467196,0.01677636766898064,0.03872102757850486,0.16494565238418074,0.0868967183174908,0.15135196193854816
14,0.09179565316911946,0.06892313329237625,0.090675289164903,0.1723708187437426,0.11359024362300164,0.162217921909706
15,0.05167803884163144,0.016980281218761006,0.0399317183010573,0.17316899486325063,0.09044776942835804,0.1515598296679443
16,0.04977098228526123,0.027760093325734238,0.05699308097119352,0.1683747766035704,0.09983859905424997,0.16613275026928528
17,0.06472068653553459,0.014089952685230937,0.04812986981956581,0.20373409921693797,0.0873143034125997,0.17126119454194488
18,0.11001071779685324,0.053605325404149654,0.10080828699013031,0.22186222906544173,0.09964355676223777,0.1943978889417283
19,0.07071952436061499,0.025256987529564373,0.0923479673657386,0.1893359787876321,0.09055646058463833,0.1841435181043171
20,0.06738733552249009,0.017353009577766313,0.07147520353991242,0.1933967019716266,0.09161099117323727,0.1884381355820978
21,0.04209035943532502,0.011387530330542055,0.04205171650281841,0.15747916489669062,0.07899854646960347,0.1587201022897434
22,0.10161880512542697,0.0183279959628866,0.06579856167053254,0.2531478413983965,0.09784721332362331,0.2029494731267111
23,0.05403307207090519,0.029056962320804087,0.049264215709509514,0.1712968922266738,0.10338944961732703,0.1619756735015916
